city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH,Hispanic or Latino,9121,223338299403
New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,American Indian and Alaska Native,90923,223338299404
Longview,Texas,36.8,40065.0,41525.0,81590,5512.0,8782.0,2.55,TX,American Indian and Alaska Native,253,223338299405
The Woodlands,Texas,38.8,56083.0,63061.0,119144,8351.0,21188.0,2.93,TX,Hispanic or Latino,19574,223338299406
Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,White,108375,231928233984
Providence,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72,RI,Asian,13432,231928233985
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,White,102312,231928233986
Inglewood,California,34.9,52995.0,58661.0,111656,2703.0,34171.0,3.12,CA,American Indian and Alaska Native,1395,231928233987
Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,Asian,4496,231928233988
Everett,Washington,37.0,56212.0,51800.0,108012,7880.0,19499.0,2.36,WA,Black or African-American,8304,231928233989
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,10633.0,12268.0,2.52,LA,White,96730,231928233990
Providence,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72,RI,Black or African-American,30638,231928233991
Columbus,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH,Black or African-American,256764,231928233992
Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,Black or African-American,7647,231928233993
Rockville,Maryland,38.1,31205.0,35793.0,66998,1990.0,25047.0,2.6,MD,Asian,17370,231928233994
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,American Indian and Alaska Native,4623,231928233995
Bellflower,California,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58,CA,White,23336,231928233996
Norwalk,Connecticut,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7,CT,Hispanic or Latino,24682,231928233997
Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,3981.0,4701.0,2.53,SC,Asian,1827,231928233998
Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,American Indian and Alaska Native,2010,231928233999
Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,White,66504,231928234000
Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,Asian,17190,240518168576
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,American Indian and Alaska Native,4739,240518168577
